source,target,size
85774E95,7FAEF3C4,1
85774E95,7F5F6E6E,3
83E8C02C,83D13F7C,1
7F5F6E6E,7E1602F1,1
800C7E08,855E7597,1
85774E95,7E90E5C6,1
85774E95,855E7597,1
85774E95,83D13F7C,1
85774E95,0D8F71EC,1
85774E95,800C7E08,1
7F5F6E6E,7FAEF3C4,1
85F9154A,85774E95,1
85774E95,7DA8478F,1
8572AB5C,853BDB1A,1
85774E95,84CC4727,1
8572AB5C,84BE13F3,1
85774E95,7E1602F1,3
85774E95,853BDB1A,1
85774E95,7D60FDB0,1
85774E95,83E8C02C,1
83E8C02C,80C14B29,1
85774E95,8572AB5C,1
85774E95,84BE13F3,1
84BE13F3,853BDB1A,1
85774E95,5C9B103F,1
85774E95,851AD1C8,1
7D60FDB0,7F5F6E6E,1
84CC4727,7E90E5C6,1
85774E95,80C14B29,1
855E7597,819404EB,1
85774E95,819404EB,1
80C14B29,83D13F7C,1
7D60FDB0,7E1602F1,1
7DA8478F,0D8F71EC,1
800C7E08,819404EB,1
